Senator Screen Name,Tweet Text,Tweet ID
SenAlexander,Why Republicans like Alexander-Murray: lower premiums less tax dollars for Obamacare subsidies less federal debt… https://t.co/MAkM9LXxMx,928387135039787009
SenatorBaldwin,Tax reform should provide tax relief to start-ups so we can free up investments to create jobs. More here:… https://t.co/gI1krrnTh2,928772314111664128
SenatorBaldwin,I fought to include #BuyAmerican in the defense legislation because when American taxpayer money is spent on our mi… https://t.co/ebuz6dITBJ,928750620558884864
SenatorBaldwin,About 1 in 3 Wisconsin taxpayers currently claim the state and local tax deduction. The Senate Republican plan call… https://t.co/Fa4ZIzIM96,928730537258373120
SenatorBaldwin,The Senate Republican tax plan lets big corporations deduct their state and local taxes but for individuals and fa… https://t.co/Y5yo52SvXm,928729926500577280
SenatorBaldwin,We need to support our #MadeInWI start-ups! I’m working to bring tax cuts to small businesses & start-ups so they c… https://t.co/h4Mz40sjxi,928377842974449664
SenatorBaldwin,The GOP tax plan should close the carried interest tax loophole for Wall Street hedge funds.   @POTUS promised to c… https://t.co/fWNi7599BT,928324550147891200
SenJohnBarrasso,We’re going to pass tax reform tax cuts and tax relief for the American people. #TaxReform https://t.co/xi8NVj7E3P,928677994939461632
SenJohnBarrasso,We want #TaxReform that allows you to keep more of what you earn and a system that’s fair for all Americans. https://t.co/TuVG5OG9qI,928027190582829056
SenJohnBarrasso,RT @SenateGOP: #TaxReform has been six years in the making and now we have the opportunity to make it a reality with @POTUS. https://t.co/…,927965200636145664
SenBennetCO,It is 1:30 ET on Thursday afternoon and we have not seen the GOP tax plan. We have not had a single hearing. Not a… https://t.co/3aenEJjLau,928691512682131456
SenBennetCO,LIVE now with @SenSherrodBrown discussing our #ChildTaxCredit ahead of the Senate GOP tax plan:… https://t.co/rrnxjkWXTs,928677696221179904
SenBennetCO,RT @SenateDems: The @HouseGOP is trying to take away the Child Tax Credit an essential tool for middle-class families and for ending child…,928677508928688128
SenBennetCO,GOP Tax Plan relies on the tired notion that huge giveaways at the top eventually trickle down to everyone else—eve… https://t.co/MCphW3xUHB,928399219160944640
SenBlumenthal,The American workforce is our country’s greatest asset. So why isn’t the GOP tax reform bill investing in it? https://t.co/5T4Vx4jvbZ,929064277897613312
SenBlumenthal,By giving the wealthiest a tax write-off while slashing benefits for the vulnerable&middle class GOP tax bill betrays American values.,929063697649209344
SenBlumenthal,Republican tax plan is a betrayal of the goal of tax reform: simplicity&fairness.,929063507718557696
SenBlumenthal,GOP is celebrating #VeteransDay by eviscerating tax credit that supports hiring our nation's heroes.,929063423446536192
SenBlumenthal,Proud to stand w/ @RepJohnLarson @RepJoeCourtney @RepEsty @rosadelauro today speaking out against cruel GOP tax proposal.,929063241250111490
RoyBlunt,Why we need to update our burdensome tax code:The numbers speak for themselves ⬇️ https://t.co/DhMhqToh0D,928698703069810688
RoyBlunt,Our tax code needs to be changed to provide much-needed relief to hardworking families https://t.co/ioRfFpRaOW,928667509330497536
RoyBlunt,We need to make changes in the tax code that will increase take-home pay for working families. https://t.co/R2sQajlE7j,928364562952450050
RoyBlunt,Outdated tax policies are holding back our economy & taking money out of the pockets of hardworking Missourians. https://t.co/IbJFzzqDkb,928008182764580864
RoyBlunt,Updating our tax code is a priority for working families & it’s a priority for growing our economy. https://t.co/7S84fA3CCl,927924008091377665
SenBooker,This tax bill is an offense to basic fairness is bad economic policy and will harm New Jerseyans and millions of… https://t.co/vgAnDGnfDV,928776436671971328
SenBooker,.@CoryBooker: Trump's unfair tax plan will harm average New Jerseyans: https://t.co/lN7rLuna4z,926436251611394049
Boozman4AR,Enjoyed lunch in Little Rock today with some #Arkansas lawyers. Talked tax reform and national security. Thanks for… https://t.co/OvZUp53xB8,917886060646010881
SenatorCantwell,I believe there are much better ways to do #TaxReform than raising taxes on middle-class families & destroying the… https://t.co/KL6jpQbFW4,929558623302443008
SenatorCantwell,We CAN do better than this rushed #GOPTaxPlan giving tax breaks to corporations on the backs of working-class famil… https://t.co/9N5P2RWMn0,929180380242079746
SenatorCantwell,HAPPENING SOON in SEATTLE: I’m holding a press conference to expose disastrous effects the NEW Republican #TaxBill… https://t.co/DsFZwF2RMv,929077703726297088
SenatorCantwell,Things a #TaxBill should NOT do: Make #AffodableHousing more expensive for millions & make middle-class families pa… https://t.co/QCOLaZA52C,928849711733157888
SenatorCantwell,The American public must be made fully aware of the #GOPTaxPlan dark-of-the-night tactics. Republicans want us to l… https://t.co/k8fKKBgRWA,928847435689992192
SenatorCantwell,I remain very concerned about the measures in the #GOPTaxPlan that raise taxes on middle-class families https://t.co/KTc48sbyHZ,928830826942406656
SenatorCantwell,We can do better than rushing through a tax break for corporations while raising taxes on middle-class families & d… https://t.co/YiP0lebFpL,928818243812212736
SenatorCantwell,**TOMORROW AT 1PM PST IN SEATTLE ** I’m raising the alarm over new #GOPTaxPlan that takes a wrecking ball to… https://t.co/dufOYYMd5y,928796855806205952
SenatorCantwell,TUNE IN NOW: I'm joining @CNBCClosingBell to talk about the #GOPTaxPlan that would raise taxes for middle-class fam… https://t.co/fCfYgnaYqf,928721765500583942
SenatorCantwell,It’s clear Republicans want to give corporations massive tax handouts while sticking middle-class Americans with a… https://t.co/TWcJA2G9nj,928683622441381888
SenatorCantwell,This Republican tax scheme raises taxes on middle-class Washington families & makes it harder to buy or own a home #GOPTaxPlan,928678465393577994
SenCapito,Catch up on the latest with #taxreform #CapitoConnect and a new major investment in West Virginia’s energy infrast… https://t.co/tl0rYXk78B,929378227117846530
SenCapito,.@SenateGOP took an important and bold step forward in delivering the pro-growth #taxreform our country needs. My f… https://t.co/Jyl4e9ILOL,929069868992925696
SenCapito,Speaking w/ @HoppyKercheval this morning about #taxreform & news of a major #energy #infrastructure investment in W… https://t.co/VYtkwxoUYA,928637655021178880
SenCapito,Joined @SenateGOP colleagues & advocates like @stevenmnuchin1 to reinforce the need for #taxreform. We have an oppo… https://t.co/UITYi4L0f0,928379120630804481
SenCapito,For WVians & Americans the status quo isn’t working & #taxreform is our opportunity to change it.,927934512570556416
SenCapito,#Taxreform also provides us a chance to give our small bizs the resources they need to expand to create jobs & to raise wages.,927934414897762309
SenCapito,#Taxreform will put more money in their pockets so they can decide the best way to spend it.,927934263957311489
SenCapito,#Taxreform provides us an incredible opportunity to make a real tangible difference in the lives of American families.,927934166938857474
SenCapito,#taxreform is important for anyone who has dreamed of owning a small biz & for every American trying to get ahead.,927933773181804544
SenCapito,Joining colleagues & advocates to discuss how #taxreform will help families small bizs & the economy. WATCH @ 11: https://t.co/O022UVANDk,927925319541063681
SenCapito,I’ll be live on @SquawkCNBC talking about the need for #taxreform. Tune in now if you can!,927891086135226370
SenatorCarper,RT @MargieTrenDE: This Veterans Day we look at how for-profit schools are able to prey on veterans and squander taxpayer money. https://t.…,929082270920642561
SenBobCasey,Trickle-down economics has failed our workers & families over and over again but that’s exactly what the GOP tax pl… https://t.co/jNIQwPhqao,928643578670338049
SenBobCasey,Apparently massive tax cuts for big corporations wasn’t enough- "Under pressure from businesses House Republicans… https://t.co/ZODr6X1q0P,928399351432536067
SenBobCasey,Bruce Bartlett Domestic Policy Adviser to President Reagan on the GOP Tax Bill. https://t.co/LmoVxN5zQL,928348386465546241
SenBobCasey,"Nearly half of all middle-class families would pay more in taxes in 2026 than they would under current rules if th… https://t.co/JR8gEEktwR,928294377038012417
BillCassidy,It's all about giving working families a tax cut. Check out my interview on @FoxBusiness. https://t.co/ecEK9fLuoH,928780254528892928
BillCassidy,On @FoxBusiness with @Varneyco. Tune in to hear about our plan to cut taxes for working families in Louisiana. #TaxReform,928642370597543936
BillCassidy,Had a good meeting with @senorrinhatch about how #TaxReform can help Louisiana families. We must cut taxes and brin… https://t.co/LvHsWnZdC0,928315041467830273
BillCassidy,Democrats get 4 Pinocchios on their claim Gop Tax Reform will raise taxes on the middle class. https://t.co/2plAyL2SOX,926146069943193601
SenThadCochran,I am optimistic about the Senate tax bill and its potential to increase economic opportunity and help Mississippi f… https://t.co/xsqu1pA2OA,928752578883719169
SenThadCochran,Pleased to vote for #budget blueprint giving Congress an opportunity to pass comprehensive #taxreform.… https://t.co/A7UPx03LUf,921189229882994690
SenatorCollins,I welcomed @IvankaTrump & Treasurer of the U.S. Jovita Carranza to a forum on tax reform attended by 150 Mainers at… https://t.co/D977wCaQFK,929138633004736515
SenatorCollins,This morning I joined @jdickerson on @CBS’s @FaceTheNation for a discussion on the Russia investigation tax refor… https://t.co/0NVpYSPFwh,924695013170335744
ChrisCoons,President @realDonaldTrump campaigned on a middle class tax cut strengthening manufacturing & investing in infras… https://t.co/R4i2LywqrW,928761711166918657
ChrisCoons,I’d like to see a tax plan that expands tax policies like the Earned Income Tax Credit – highly effective & can pro… https://t.co/EneB1jH9v7,928684053032767489
ChrisCoons,I’d like to see a tax plan that incentivizes innovation by strengthening the R&D tax credit.,928683965271236609
ChrisCoons,I’d like to see a more progressive tax plan with tax cuts for the middle class as the priority.,928683891606638592
ChrisCoons,Our president promised "massive"middle class tax cuts. Speaker Ryan said this plan cuts taxes for everyone. That’s… https://t.co/eATDAPJYiZ,928646010737438720
ChrisCoons,According to the nonpartisan @TaxPolicyCenter the House GOP tax bill would increase taxes on 31% of middle class A… https://t.co/4ioWmjftNJ,928643429902495744
SenBobCorker,I'm excited about the possibility of the biggest tax rewrite since 1986 but it must be done right. My statement on… https://t.co/KlRy0yd6LZ,926206420810391553
SenBobCorker,I'm all in for #TaxReform if it’s done right. We need to be tough and close loopholes. My interview on @SquawkCNBC: https://t.co/8z2va3Y6DH.,923900587476946944
JohnCornyn,Legacy Vets told me they want #TaxReform at Ft Sam Houston Veterans Day celebration. https://t.co/X1taxeH0Q7,929419005173039104
SenTomCotton,I talked with @4029news yesterday while in Lowell about repealing the Obamacare individual mandate with tax reform.… https://t.co/oTJK99Jogu,929438607831482368
SenTomCotton,Thanks to Generations Bank in Rogers for hosting me to discuss tax reform this morning. https://t.co/XALCaNpaca,929112121970970624
SenTomCotton,WATCH my interview with @TuckerCarlson on tax reform: https://t.co/fpu5cqmrZW,928829598787256321
SenTomCotton,The tax-reform proposal released today is a good start but it would be so much better if we repeal Obamacare’s hat… https://t.co/MpfXRjl5fq,928723206344601600
SenTomCotton,ICYMI – I joined @newsradio1029 this morning to talk tax reform and repealing the CFPB arbitration rule. LISTEN: https://t.co/Bw2WcSaeal,927955404365103105
SenTomCotton,This morning I talked with @HughHewitt about repealing the individual mandate and providing tax relief. LISTEN: https://t.co/m4T4VfUm1t,927939590421442561
MikeCrapo,RT @SenateGOP: Today Senate Republicans are ready to pass tax reform that will lead to more jobs fairer taxes and bigger paychecks for A…,926496802190315520
MikeCrapo,RT @IdahoGOP: Want a fairer tax code? So does Senator @MikeCrapo https://t.co/nbwzUZmoXk https://t.co/yMLnMk1856,925096843591200768
MikeCrapo,#ICYMI: My #WeeklyColumn and the 4th in a series on #TaxReform (via @Idaho_Politics) https://t.co/iXDGqUsrwW https://t.co/4sJWzXMxvZ,925014049414369287
